;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Running nr;Customer id;;;Products;;;;;;;;;;;;;; Price per unit ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;A;B;C;D;E;F;G;H;I;K;L;;;; A ; B ; C ; D ; E ; F ; G ; H ; I ; K ; L ;;;;;;;;;;;;;;
917;43;;;13;0;6;0;0;16;0;0;19;0;0;54;;; € 19,00 ; € -   ; € 42,00 ; € -   ; € -   ; € 118,00 ; € -   ; € -   ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
918;137;;;6;0;35;0;19;0;0;52;13;0;0;125;;; € 18,00 ; € -   ; € 35,00 ; € -   ; € 16,00 ; € -   ; € -   ; € 16,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
919;63;;;28;0;0;2;0;0;49;0;28;41;0;148;;; € 15,00 ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € 6,00 ; € -   ; € 20,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
920;37;;;2;43;0;13;0;48;0;31;0;104;36;277;;; € 17,00 ; € 9,00 ; € -   ; € 12,00 ; € -   ; € 104,00 ; € -   ; € 19,00 ; € -   ; € 17,00 ; € 18,00 ;;;;;;;;;;;;;;
921;55;;;14;42;0;11;15;0;0;0;0;60;23;165;;; € 15,00 ; € 10,00 ; € -   ; € 9,00 ; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € 17,00 ; € 19,00 ;;;;;;;;;;;;;;
922;115;;;36;0;0;9;0;78;75;0;0;0;43;241;;; € 15,00 ; € -   ; € -   ; € 6,00 ; € -   ; € 171,00 ; € 5,00 ; € -   ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
923;44;;;38;0;0;0;20;0;77;0;0;0;0;135;;; € 20,00 ; € -   ; € -   ; € -   ; € 20,00 ; € -   ; € 40,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
924;98;;;18;0;67;15;0;5;0;26;8;0;12;151;;; € 18,00 ; € -   ; € 23,00 ; € 17,00 ; € -   ; € 197,00 ; € -   ; € 19,00 ; € 16,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
925;55;;;16;0;0;0;18;1;44;15;0;8;49;151;;; € 16,00 ; € -   ; € -   ; € -   ; € 16,00 ; € 113,00 ; € 23,00 ; € 19,00 ; € -   ; € 15,00 ; € 19,00 ;;;;;;;;;;;;;;
926;28;;;19;36;0;0;0;0;0;0;0;0;0;55;;; € 15,00 ; € 9,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
927;117;;;1;5;81;0;29;0;52;13;0;0;38;219;;; € 19,00 ; € 6,00 ; € 33,00 ; € -   ; € 15,00 ; € -   ; € 8,00 ; € 15,00 ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
928;19;;;14;0;0;5;15;43;90;17;0;0;28;212;;; € 20,00 ; € -   ; € -   ; € 11,00 ; € 20,00 ; € 144,00 ; € 40,00 ; € 17,00 ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
929;44;;;9;0;0;20;21;0;70;0;0;41;0;161;;; € 19,00 ; € -   ; € -   ; € 17,00 ; € 15,00 ; € -   ; € 27,00 ; € -   ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
930;8;;;22;11;100;20;28;65;55;23;0;0;0;324;;; € 16,00 ; € 5,00 ; € 24,00 ; € 17,00 ; € 18,00 ; € 165,00 ; € 16,00 ; € 19,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
931;109;;;7;0;0;11;18;0;81;29;0;0;0;146;;; € 16,00 ; € -   ; € -   ; € 18,00 ; € 18,00 ; € -   ; € 6,00 ; € 19,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
932;100;;;16;0;83;19;20;51;39;19;2;85;0;334;;; € 15,00 ; € -   ; € 30,00 ; € 18,00 ; € 17,00 ; € 190,00 ; € 10,00 ; € 16,00 ; € 17,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
933;150;;;1;36;0;0;28;13;43;27;12;23;21;204;;; € 19,00 ; € 10,00 ; € -   ; € -   ; € 15,00 ; € 196,00 ; € 29,00 ; € 17,00 ; € 17,00 ; € 19,00 ; € 17,00 ;;;;;;;;;;;;;;
934;48;;;28;29;28;19;35;0;0;45;28;38;0;250;;; € 15,00 ; € 7,00 ; € 46,00 ; € 8,00 ; € 15,00 ; € -   ; € -   ; € 17,00 ; € 15,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
935;95;;;12;0;13;0;27;0;0;0;2;0;41;95;;; € 18,00 ; € -   ; € 20,00 ; € -   ; € 19,00 ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
936;76;;;8;0;33;1;38;46;0;31;19;14;0;190;;; € 19,00 ; € -   ; € 47,00 ; € 15,00 ; € 20,00 ; € 141,00 ; € -   ; € 15,00 ; € 19,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
937;139;;;38;0;30;9;0;85;84;0;0;0;0;246;;; € 17,00 ; € -   ; € 25,00 ; € 17,00 ; € -   ; € 134,00 ; € 5,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
938;74;;;0;33;70;12;0;65;0;0;11;0;50;241;;; € -   ; € 5,00 ; € 30,00 ; € 12,00 ; € -   ; € 100,00 ; € -   ; € -   ; € 15,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
939;143;;;19;31;0;19;13;66;78;4;0;52;7;289;;; € 17,00 ; € 7,00 ; € -   ; € 17,00 ; € 19,00 ; € 188,00 ; € 26,00 ; € 20,00 ; € -   ; € 15,00 ; € 17,00 ;;;;;;;;;;;;;;
940;38;;;4;0;0;18;35;61;0;26;0;72;48;264;;; € 16,00 ; € -   ; € -   ; € 11,00 ; € 17,00 ; € 115,00 ; € -   ; € 15,00 ; € -   ; € 19,00 ; € 20,00 ;;;;;;;;;;;;;;
941;91;;;9;0;45;0;41;19;0;33;9;88;28;272;;; € 15,00 ; € -   ; € 25,00 ; € -   ; € 15,00 ; € 172,00 ; € -   ; € 18,00 ; € 15,00 ; € 17,00 ; € 15,00 ;;;;;;;;;;;;;;
942;11;;;8;8;7;17;0;0;0;28;1;37;0;106;;; € 15,00 ; € 7,00 ; € 47,00 ; € 11,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 16,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
943;12;;;30;35;0;19;36;0;96;48;0;36;22;322;;; € 19,00 ; € 10,00 ; € -   ; € 9,00 ; € 15,00 ; € -   ; € 16,00 ; € 17,00 ; € -   ; € 18,00 ; € 18,00 ;;;;;;;;;;;;;;
944;145;;;12;1;0;0;0;0;0;16;24;73;12;138;;; € 19,00 ; € 6,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € 17,00 ; € 20,00 ; € 16,00 ;;;;;;;;;;;;;;
945;137;;;14;39;76;0;0;0;0;0;19;41;48;237;;; € 20,00 ; € 5,00 ; € 35,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 20,00 ; € 19,00 ; € 17,00 ;;;;;;;;;;;;;;
946;136;;;7;0;0;2;0;40;0;0;0;23;35;107;;; € 15,00 ; € -   ; € -   ; € 5,00 ; € -   ; € 162,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 18,00 ;;;;;;;;;;;;;;
947;9;;;20;15;79;0;0;60;0;20;0;96;37;327;;; € 16,00 ; € 5,00 ; € 23,00 ; € -   ; € -   ; € 165,00 ; € -   ; € 19,00 ; € -   ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
948;44;;;34;0;9;17;8;0;0;51;18;0;0;137;;; € 16,00 ; € -   ; € 38,00 ; € 18,00 ; € 17,00 ; € -   ; € -   ; € 18,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
949;74;;;20;1;18;10;0;93;0;0;0;0;0;142;;; € 17,00 ; € 10,00 ; € 43,00 ; € 10,00 ; € -   ; € 126,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
950;5;;;24;33;0;9;0;70;0;0;18;0;0;154;;; € 18,00 ; € 9,00 ; € -   ; € 7,00 ; € -   ; € 114,00 ; € -   ; € -   ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
951;123;;;40;16;77;2;0;0;25;17;5;50;49;281;;; € 16,00 ; € 8,00 ; € 19,00 ; € 14,00 ; € -   ; € -   ; € 36,00 ; € 16,00 ; € 15,00 ; € 15,00 ; € 20,00 ;;;;;;;;;;;;;;
952;65;;;30;0;0;0;21;0;0;54;0;0;2;107;;; € 20,00 ; € -   ; € -   ; € -   ; € 15,00 ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € 15,00 ;;;;;;;;;;;;;;
953;123;;;18;29;97;0;0;43;18;41;0;87;42;375;;; € 15,00 ; € 10,00 ; € 15,00 ; € -   ; € -   ; € 116,00 ; € 16,00 ; € 17,00 ; € -   ; € 15,00 ; € 15,00 ;;;;;;;;;;;;;;
954;57;;;6;0;91;12;32;0;46;60;18;0;6;271;;; € 17,00 ; € -   ; € 15,00 ; € 13,00 ; € 20,00 ; € -   ; € 25,00 ; € 16,00 ; € 15,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
955;148;;;19;8;0;4;20;1;63;34;0;0;0;149;;; € 17,00 ; € 7,00 ; € -   ; € 9,00 ; € 19,00 ; € 173,00 ; € 22,00 ; € 20,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
956;104;;;14;35;5;0;29;0;79;44;13;21;0;240;;; € 19,00 ; € 7,00 ; € 17,00 ; € -   ; € 15,00 ; € -   ; € 10,00 ; € 17,00 ; € 18,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
957;129;;;8;4;0;0;0;23;19;0;0;80;18;152;;; € 19,00 ; € 7,00 ; € -   ; € -   ; € -   ; € 137,00 ; € 27,00 ; € -   ; € -   ; € 17,00 ; € 18,00 ;;;;;;;;;;;;;;
958;19;;;28;10;80;19;8;0;0;0;26;0;37;208;;; € 19,00 ; € 6,00 ; € 15,00 ; € 17,00 ; € 15,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € 15,00 ;;;;;;;;;;;;;;
959;47;;;6;33;47;0;29;0;85;0;15;0;31;246;;; € 20,00 ; € 7,00 ; € 48,00 ; € -   ; € 17,00 ; € -   ; € 16,00 ; € -   ; € 15,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
960;46;;;5;48;0;0;0;0;0;0;0;38;0;91;;; € 17,00 ; € 6,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € -   ;;;;;;;;;;;;;;
961;132;;;14;0;31;0;49;79;72;19;0;0;0;264;;; € 20,00 ; € -   ; € 47,00 ; € -   ; € 18,00 ; € 195,00 ; € 38,00 ; € 20,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
962;122;;;15;0;0;0;9;38;92;0;0;0;5;159;;; € 17,00 ; € -   ; € -   ; € -   ; € 20,00 ; € 135,00 ; € 9,00 ; € -   ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
963;62;;;5;0;0;15;0;3;19;49;30;0;2;123;;; € 16,00 ; € -   ; € -   ; € 8,00 ; € -   ; € 154,00 ; € 7,00 ; € 17,00 ; € 19,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
964;13;;;18;0;1;5;22;0;0;3;4;0;21;74;;; € 16,00 ; € -   ; € 33,00 ; € 20,00 ; € 20,00 ; € -   ; € -   ; € 16,00 ; € 18,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
965;56;;;38;48;0;19;0;0;44;20;16;80;8;273;;; € 15,00 ; € 6,00 ; € -   ; € 19,00 ; € -   ; € -   ; € 27,00 ; € 17,00 ; € 18,00 ; € 16,00 ; € 18,00 ;;;;;;;;;;;;;;
966;95;;;9;0;52;15;0;0;0;42;0;0;11;129;;; € 20,00 ; € -   ; € 18,00 ; € 12,00 ; € -   ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
967;99;;;16;0;0;0;40;59;0;44;25;95;0;279;;; € 18,00 ; € -   ; € -   ; € -   ; € 16,00 ; € 119,00 ; € -   ; € 15,00 ; € 19,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
968;33;;;11;0;0;4;0;97;62;0;10;0;0;184;;; € 16,00 ; € -   ; € -   ; € 15,00 ; € -   ; € 144,00 ; € 12,00 ; € -   ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
969;137;;;8;27;2;15;0;84;0;0;5;0;0;141;;; € 18,00 ; € 8,00 ; € 25,00 ; € 20,00 ; € -   ; € 173,00 ; € -   ; € -   ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
970;68;;;10;0;4;0;0;44;0;0;0;98;0;156;;; € 16,00 ; € -   ; € 37,00 ; € -   ; € -   ; € 130,00 ; € -   ; € -   ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
971;18;;;22;0;28;4;0;0;8;0;11;0;10;83;;; € 20,00 ; € -   ; € 30,00 ; € 5,00 ; € -   ; € -   ; € 24,00 ; € -   ; € 15,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
972;20;;;17;0;0;18;0;0;45;59;0;0;0;139;;; € 19,00 ; € -   ; € -   ; € 14,00 ; € -   ; € -   ; € 31,00 ; € 17,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
973;92;;;0;0;0;0;30;0;52;38;4;0;50;174;;; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € 19,00 ; € 17,00 ; € 16,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
974;72;;;28;0;0;0;6;100;5;16;13;37;0;205;;; € 17,00 ; € -   ; € -   ; € -   ; € 19,00 ; € 108,00 ; € 33,00 ; € 15,00 ; € 17,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
975;73;;;40;28;23;7;0;0;21;56;29;86;17;307;;; € 19,00 ; € 10,00 ; € 39,00 ; € 20,00 ; € -   ; € -   ; € 17,00 ; € 17,00 ; € 20,00 ; € 19,00 ; € 16,00 ;;;;;;;;;;;;;;
976;128;;;34;43;0;0;0;0;0;0;8;0;18;103;;; € 18,00 ; € 8,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
977;80;;;20;44;54;11;0;0;0;0;0;0;32;161;;; € 20,00 ; € 10,00 ; € 16,00 ; € 13,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
978;19;;;8;0;0;12;0;82;0;38;16;97;0;253;;; € 19,00 ; € -   ; € -   ; € 14,00 ; € -   ; € 122,00 ; € -   ; € 19,00 ; € 16,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
979;123;;;6;12;46;2;0;0;0;0;12;0;40;118;;; € 16,00 ; € 9,00 ; € 20,00 ; € 10,00 ; € -   ; € -   ; € -   ; € -   ; € 15,00 ; € -   ; € 18,00 ;;;;;;;;;;;;;;
980;82;;;8;20;7;11;0;0;13;0;22;16;0;97;;; € 20,00 ; € 5,00 ; € 42,00 ; € 6,00 ; € -   ; € -   ; € 18,00 ; € -   ; € 20,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
981;123;;;26;0;0;5;0;47;0;4;0;94;28;204;;; € 20,00 ; € -   ; € -   ; € 11,00 ; € -   ; € 166,00 ; € -   ; € 20,00 ; € -   ; € 18,00 ; € 18,00 ;;;;;;;;;;;;;;
982;112;;;36;39;51;19;38;99;13;11;29;26;30;391;;; € 19,00 ; € 10,00 ; € 40,00 ; € 8,00 ; € 15,00 ; € 135,00 ; € 36,00 ; € 15,00 ; € 18,00 ; € 18,00 ; € 20,00 ;;;;;;;;;;;;;;
983;53;;;12;49;60;0;0;88;34;0;0;0;8;251;;; € 15,00 ; € 9,00 ; € 22,00 ; € -   ; € -   ; € 123,00 ; € 21,00 ; € -   ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
984;27;;;10;0;0;0;0;63;0;16;0;0;20;109;;; € 20,00 ; € -   ; € -   ; € -   ; € -   ; € 107,00 ; € -   ; € 20,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
985;132;;;26;0;7;2;0;63;24;0;0;0;0;122;;; € 19,00 ; € -   ; € 44,00 ; € 16,00 ; € -   ; € 151,00 ; € 28,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
986;36;;;15;1;70;16;31;46;0;1;6;3;0;189;;; € 17,00 ; € 5,00 ; € 25,00 ; € 13,00 ; € 17,00 ; € 141,00 ; € -   ; € 20,00 ; € 16,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
987;93;;;5;38;65;0;41;23;34;36;0;0;36;278;;; € 17,00 ; € 7,00 ; € 39,00 ; € -   ; € 19,00 ; € 177,00 ; € 31,00 ; € 18,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
988;83;;;8;0;86;0;5;20;50;30;0;0;0;199;;; € 17,00 ; € -   ; € 41,00 ; € -   ; € 16,00 ; € 121,00 ; € 26,00 ; € 18,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
989;45;;;7;0;32;0;45;0;0;0;25;0;0;109;;; € 19,00 ; € -   ; € 27,00 ; € -   ; € 17,00 ; € -   ; € -   ; € -   ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
990;43;;;2;27;0;4;38;20;0;0;17;67;5;180;;; € 19,00 ; € 5,00 ; € -   ; € 6,00 ; € 17,00 ; € 172,00 ; € -   ; € -   ; € 16,00 ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
991;61;;;20;25;0;0;0;0;32;30;24;28;0;159;;; € 19,00 ; € 6,00 ; € -   ; € -   ; € -   ; € -   ; € 6,00 ; € 17,00 ; € 17,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
992;28;;;18;8;33;14;17;10;32;12;0;26;37;207;;; € 15,00 ; € 9,00 ; € 34,00 ; € 20,00 ; € 17,00 ; € 198,00 ; € 24,00 ; € 16,00 ; € -   ; € 19,00 ; € 15,00 ;;;;;;;;;;;;;;
993;33;;;18;0;0;11;0;0;0;0;0;0;6;35;;; € 15,00 ; € -   ; € -   ; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
994;1;;;9;20;52;0;0;21;0;8;0;0;0;110;;; € 20,00 ; € 5,00 ; € 28,00 ; € -   ; € -   ; € 105,00 ; € -   ; € 16,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
995;129;;;40;0;0;0;0;0;7;27;28;0;0;102;;; € 16,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 32,00 ; € 15,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
996;112;;;11;35;8;4;0;0;0;19;0;0;0;77;;; € 18,00 ; € 10,00 ; € 25,00 ; € 15,00 ; € -   ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
997;2;;;13;0;55;0;22;63;17;35;0;45;0;250;;; € 17,00 ; € -   ; € 43,00 ; € -   ; € 20,00 ; € 200,00 ; € 14,00 ; € 17,00 ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
998;2;;;16;29;78;13;0;0;31;0;20;45;19;251;;; € 15,00 ; € 10,00 ; € 16,00 ; € 13,00 ; € -   ; € -   ; € 35,00 ; € -   ; € 15,00 ; € 20,00 ; € 17,00 ;;;;;;;;;;;;;;
999;38;;;6;12;55;18;16;0;0;0;0;0;0;107;;; € 18,00 ; € 8,00 ; € 43,00 ; € 17,00 ; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1000;64;;;14;25;0;5;0;0;45;3;15;0;27;134;;; € 18,00 ; € 9,00 ; € -   ; € 8,00 ; € -   ; € -   ; € 24,00 ; € 20,00 ; € 16,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
1001;49;;;1;6;97;7;0;36;57;24;0;49;0;277;;; € 17,00 ; € 6,00 ; € 48,00 ; € 11,00 ; € -   ; € 163,00 ; € 5,00 ; € 19,00 ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
1002;75;;;20;0;73;0;39;0;31;26;0;0;38;227;;; € 16,00 ; € -   ; € 42,00 ; € -   ; € 17,00 ; € -   ; € 38,00 ; € 18,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
1003;70;;;20;0;0;0;47;46;0;15;0;0;21;149;;; € 15,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 185,00 ; € -   ; € 15,00 ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
1004;147;;;12;0;95;0;13;0;0;8;0;0;49;177;;; € 15,00 ; € -   ; € 45,00 ; € -   ; € 15,00 ; € -   ; € -   ; € 20,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
1005;60;;;20;17;36;0;20;100;27;8;0;0;14;242;;; € 20,00 ; € 9,00 ; € 18,00 ; € -   ; € 16,00 ; € 140,00 ; € 14,00 ; € 18,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
1006;7;;;3;0;44;0;0;0;0;0;0;0;45;92;;; € 17,00 ; € -   ; € 46,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
1007;53;;;8;46;0;15;38;0;12;0;24;0;32;175;;; € 15,00 ; € 8,00 ; € -   ; € 13,00 ; € 18,00 ; € -   ; € 17,00 ; € -   ; € 19,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
1008;89;;;7;11;0;8;26;25;0;0;24;0;0;101;;; € 20,00 ; € 10,00 ; € -   ; € 6,00 ; € 18,00 ; € 191,00 ; € -   ; € -   ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1009;91;;;0;28;37;10;40;40;11;22;0;106;6;300;;; € -   ; € 7,00 ; € 24,00 ; € 12,00 ; € 18,00 ; € 181,00 ; € 35,00 ; € 17,00 ; € -   ; € 16,00 ; € 15,00 ;;;;;;;;;;;;;;
1010;73;;;8;38;38;18;40;62;40;35;0;105;0;384;;; € 16,00 ; € 9,00 ; € 35,00 ; € 9,00 ; € 18,00 ; € 140,00 ; € 29,00 ; € 20,00 ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
1011;68;;;20;29;54;18;0;0;29;30;9;80;0;269;;; € 15,00 ; € 7,00 ; € 17,00 ; € 11,00 ; € -   ; € -   ; € 10,00 ; € 15,00 ; € 16,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
1012;20;;;1;0;51;17;41;0;0;54;0;48;47;259;;; € 19,00 ; € -   ; € 42,00 ; € 18,00 ; € 15,00 ; € -   ; € -   ; € 19,00 ; € -   ; € 18,00 ; € 18,00 ;;;;;;;;;;;;;;
1013;36;;;12;0;0;0;39;83;0;35;0;0;0;169;;; € 17,00 ; € -   ; € -   ; € -   ; € 16,00 ; € 100,00 ; € -   ; € 20,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1014;110;;;17;17;0;0;0;44;0;0;0;20;31;129;;; € 17,00 ; € 8,00 ; € -   ; € -   ; € -   ; € 123,00 ; € -   ; € -   ; € -   ; € 19,00 ; € 17,00 ;;;;;;;;;;;;;;
1015;56;;;18;0;0;4;0;0;24;0;0;36;20;102;;; € 17,00 ; € -   ; € -   ; € 7,00 ; € -   ; € -   ; € 19,00 ; € -   ; € -   ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
1016;67;;;16;30;58;0;0;3;0;0;7;0;32;146;;; € 16,00 ; € 7,00 ; € 39,00 ; € -   ; € -   ; € 127,00 ; € -   ; € -   ; € 20,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
1017;107;;;0;37;13;20;0;91;3;51;25;42;33;315;;; € -   ; € 6,00 ; € 23,00 ; € 20,00 ; € -   ; € 152,00 ; € 25,00 ; € 16,00 ; € 16,00 ; € 16,00 ; € 15,00 ;;;;;;;;;;;;;;
1018;10;;;38;0;0;17;21;0;95;0;10;0;0;181;;; € 17,00 ; € -   ; € -   ; € 18,00 ; € 20,00 ; € -   ; € 37,00 ; € -   ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1019;4;;;2;1;0;0;38;0;0;27;0;0;0;68;;; € 17,00 ; € 7,00 ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
1020;21;;;18;0;94;11;0;30;74;0;0;4;0;231;;; € 20,00 ; € -   ; € 31,00 ; € 14,00 ; € -   ; € 182,00 ; € 13,00 ; € -   ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
1021;74;;;0;0;0;2;7;0;0;19;11;32;0;71;;; € -   ; € -   ; € -   ; € 10,00 ; € 16,00 ; € -   ; € -   ; € 17,00 ; € 20,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
1022;4;;;38;19;0;14;29;0;0;19;2;0;0;121;;; € 16,00 ; € 9,00 ; € -   ; € 15,00 ; € 18,00 ; € -   ; € -   ; € 17,00 ; € 16,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1023;133;;;26;32;57;4;3;95;50;0;0;15;0;282;;; € 19,00 ; € 10,00 ; € 42,00 ; € 19,00 ; € 18,00 ; € 148,00 ; € 19,00 ; € -   ; € -   ; € 17,00 ; € -   ;;;;;;;;;;;;;;
1024;29;;;38;9;79;2;0;0;0;0;13;44;41;226;;; € 20,00 ; € 9,00 ; € 50,00 ; € 10,00 ; € -   ; € -   ; € -   ; € -   ; € 17,00 ; € 19,00 ; € 16,00 ;;;;;;;;;;;;;;
1025;88;;;12;0;0;0;37;90;0;15;25;0;0;179;;; € 15,00 ; € -   ; € -   ; € -   ; € 19,00 ; € 160,00 ; € -   ; € 20,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1026;12;;;20;0;52;0;0;35;74;0;0;100;50;331;;; € 20,00 ; € -   ; € 25,00 ; € -   ; € -   ; € 162,00 ; € 30,00 ; € -   ; € -   ; € 18,00 ; € 15,00 ;;;;;;;;;;;;;;
1027;61;;;34;0;0;0;5;0;0;0;13;0;0;52;;; € 16,00 ; € -   ; € -   ; € -   ; € 15,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € -   ;;;;;;;;;;;;;;
1028;79;;;36;0;0;0;5;0;0;0;4;105;0;150;;; € 18,00 ; € -   ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € -   ; € 16,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
1029;34;;;30;0;49;0;0;0;7;13;0;60;32;191;;; € 15,00 ; € -   ; € 17,00 ; € -   ; € -   ; € -   ; € 37,00 ; € 17,00 ; € -   ; € 16,00 ; € 19,00 ;;;;;;;;;;;;;;
1030;78;;;11;28;73;0;10;14;0;14;20;13;0;183;;; € 19,00 ; € 6,00 ; € 48,00 ; € -   ; € 15,00 ; € 146,00 ; € -   ; € 15,00 ; € 19,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
